Rank,PlayerName,Team,FantasyPoints,Posted,Notes
1,Lamar Jackson,BAL,430,False,
2,Josh Allen,BUF,379,False,
3,Joe Burrow,CIN,373,False,
4,Baker Mayfield,TAM,366,False,
5,Jayden Daniels,WAS,356,False,
6,Jared Goff,DET,323,False,
7,Bo Nix,DEN,316,False,
8,Jalen Hurts,PHI,315,False,
9,Sam Darnold,MIN,308,False,
10,Kyler Murray,ARI,297,False,
11,Justin Herbert,LAC,285,False,
12,Patrick Mahomes,KAN,282,False,
13,Brock Purdy,SFO,267,False,
14,Geno Smith,SEA,266,False,
15,Aaron Rodgers,NYJ,257,False,
16,Caleb Williams,CHI,255,False,
17,Jordan Love,GNB,234,False,
18,C.J. Stroud,HOU,220,False,
19,Matthew Stafford,LAR,215,False,
20,Bryce Young,CAR,195,False,
21,Tua Tagovailoa,MIA,182,False,
22,Drake Maye,NWE,177,False,
23,Kirk Cousins,ATL,176,False,
24,Russell Wilson,PIT,173,False,
25,Anthony Richardson,IND,162,False,
26,Derek Carr,NOR,151,False,
27,Trevor Lawrence,JAX,145,False,
28,Daniel Jones,NYG,135,False,
29,Jameis Winston,CLE,131,False,
30,Will Levis,TEN,120,False,
31,Justin Fields,PIT,119,False,
32,Dak Prescott,DAL,117,False,
33,Cooper Rush,DAL,110,False,
34,Joe Flacco,IND,99,False,
35,Mason Rudolph,TEN,96,False,
36,Mac Jones,JAX,96,False,
37,Gardner Minshew II,LVR,96,False,
38,Aidan O'Connell,LVR,93,False,
39,Drew Lock,NYG,80,False,
40,Deshaun Watson,CLE,77,False,
41,Spencer Rattler,NOR,67,False,
42,Tyler Huntley,MIA,61,False,
43,Andy Dalton,CAR,59,False,
44,Malik Willis,GNB,52,False,
45,Marcus Mariota,WAS,46,False,
46,Jacoby Brissett,NWE,45,False,
47,Michael Penix,ATL,44,False,
48,Joshua Dobbs,SFO,31,False,
49,Tanner McKee,PHI,29,False,
50,Kenny Pickett,PHI,25,False,
51,Desmond Ridder,LVR,22,False,
52,Tyrod Taylor,NYJ,20,False,
53,Jimmy Garoppolo,LAR,20,False,
54,Joe Milton,NWE,19,False,
55,Dorian Thompson-Robinson,CLE,16,False,
56,Mitchell Trubisky,BUF,15,False,
57,Tim Boyle,2TM,14,False,
58,Tommy DeVito,NYG,13,False,
59,Jake Haener,NOR,13,False,
60,Trey Lance,DAL,13,False,
61,Davis Mills,HOU,10,False,
62,Skylar Thompson,MIA,8,False,
63,Bailey Zappe,CLE,7,False,
64,Brandon Allen,SFO,6,False,
65,Carson Wentz,KAN,5,False,
66,Taylor Heinicke,LAC,3,False,
67,Hendon Hooker,DET,3,False,
68,Kyle Allen,PIT,1,False,
