Rank,PlayerName,Team,FantasyPoints,Posted,Notes,YouTubeLink
1,Lamar Jackson,BAL,430,False,,https://www.youtube.com/watch?v=5uBL7M3_5xk
2,Josh Allen,BUF,379,False,,https://www.youtube.com/watch?v=8TVyeKi0XRg
3,Joe Burrow,CIN,373,False,,https://www.youtube.com/watch?v=57gQooY7lv0
4,Baker Mayfield,TAM,366,False,,https://www.youtube.com/watch?v=H3Oo091OUuQ
5,Jayden Daniels,WAS,356,False,,https://www.youtube.com/watch?v=SBW5qTGMS2I
6,Jared Goff,DET,323,False,,https://www.youtube.com/watch?v=baJRbqZEh-U
7,Bo Nix,DEN,316,False,,https://www.youtube.com/watch?v=yH92kAXyQio
8,Jalen Hurts,PHI,315,False,,https://www.youtube.com/watch?v=rqcp3YzSPDU
9,Sam Darnold,MIN,308,False,,https://www.youtube.com/watch?v=M034L_L_vqE
10,Kyler Murray,ARI,297,False,,https://www.youtube.com/watch?v=gUA1FNetxSo
11,Justin Herbert,LAC,285,False,,https://www.youtube.com/watch?v=LksJJ0C4CyM
12,Patrick Mahomes,KAN,282,False,,https://www.youtube.com/watch?v=XHev-GQ2pGQ
13,Brock Purdy,SFO,267,False,,https://www.youtube.com/watch?v=MtGNCTJpm7c
14,Geno Smith,SEA,266,False,,https://www.youtube.com/watch?v=WKHsP7E9K7Y
15,Aaron Rodgers,NYJ,257,False,,https://www.youtube.com/watch?v=y5VnoUKjOc4
16,Caleb Williams,CHI,255,False,,https://www.youtube.com/watch?v=d9ON-4K6ms4
17,Jordan Love,GNB,234,False,,https://www.youtube.com/watch?v=VoKC8jY8TbA
18,C.J. Stroud,HOU,220,False,,https://www.youtube.com/watch?v=LLFdkd9nHZo
19,Matthew Stafford,LAR,215,False,,https://www.youtube.com/watch?v=c6i7PhI57VE
20,Bryce Young,CAR,195,False,,https://www.youtube.com/watch?v=QHLvpQejaAE
21,Tua Tagovailoa,MIA,182,False,,https://www.youtube.com/watch?v=x-pu08-aStA
22,Drake Maye,NWE,177,False,,https://www.youtube.com/watch?v=75_y41ImYM8
23,Kirk Cousins,ATL,176,False,,https://www.youtube.com/watch?v=Mr80nGUW9c8
24,Russell Wilson,PIT,173,False,,https://www.youtube.com/watch?v=jFWd9lI9FSQ
25,Anthony Richardson,IND,162,False,,https://www.youtube.com/watch?v=Ay3dpEa1z3Q
26,Derek Carr,NOR,151,False,,https://www.youtube.com/watch?v=0XqKpuVUH1k
27,Trevor Lawrence,JAX,145,False,,https://www.youtube.com/watch?v=qfJwKjKWwAQ
28,Daniel Jones,NYG,135,False,,https://www.youtube.com/watch?v=V2gkWNvaXuU
29,Jameis Winston,CLE,131,False,,https://www.youtube.com/watch?v=BUxgCpUAEX0
30,Will Levis,TEN,120,False,,https://www.youtube.com/watch?v=qUWSCAYCK2U
31,Justin Fields,PIT,119,False,,https://www.youtube.com/watch?v=fIjtpEVlTYc
32,Dak Prescott,DAL,117,False,,https://www.youtube.com/watch?v=XJcaHtr-kAM
33,Cooper Rush,DAL,110,False,,https://www.youtube.com/watch?v=upglqgaHpbY
34,Joe Flacco,IND,99,False,,https://www.youtube.com/watch?v=d-OQ-htJd4c
