Rank,PlayerName,Team,FantasyPoints,Posted,Notes
1,Saquon Barkley,PHI,322,False,
2,Derrick Henry,BAL,317,False,
3,Jahmyr Gibbs,DET,311,False,
4,Bijan Robinson,ATL,281,False,
5,Josh Jacobs,GNB,257,False,
6,Kyren Williams,LAR,238,False,
7,James Cook,BUF,235,False,
8,Jonathan Taylor,IND,227,False,
9,De'Von Achane,MIA,222,False,
10,James Conner,ARI,207,False,
11,Joe Mixon,HOU,205,False,
12,Chase Brown,CIN,201,False,
13,Chuba Hubbard,CAR,199,False,
14,Bucky Irving,TAM,197,False,
15,Alvin Kamara,NOR,197,False,
16,Aaron Jones,MIN,191,False,
17,David Montgomery,DET,186,False,
18,Breece Hall,NYJ,184,False,
19,D'Andre Swift,CHI,173,False,
20,Najee Harris,PIT,169,False,
21,J.K. Dobbins,LAC,160,False,
22,Tony Pollard,TEN,160,False,
23,Rico Dowdle,DAL,159,False,
24,Rachaad White,TAM,149,False,
25,Zach Charbonnet,SEA,145,False,
26,Tyrone Tracy Jr.,NYG,144,False,
27,Rhamondre Stevenson,NWE,143,False,
28,Brian Robinson Jr.,WAS,140,False,
29,Kenneth Walker III,SEA,135,False,
30,Kareem Hunt,KAN,132,False,
31,Tank Bigsby,JAX,122,False,
32,Javonte Williams,DEN,106,False,
33,Jordan Mason,SFO,104,False,
34,Alexander Mattison,LVR,101,False,
35,Ray Davis,BUF,99,False,
36,Austin Ekeler,WAS,97,False,
37,Jerome Ford,CLE,97,False,
38,Tyler Allgeier,ATL,93,False,
39,Travis Etienne,JAX,91,False,
40,Jaylen Warren,PIT,86,False,
41,Ameer Abdullah,LVR,85,False,
42,Justice Hill,BAL,85,False,
43,Emanuel Wilson,GNB,85,False,
44,Tyjae Spears,TEN,84,False,
45,Antonio Gibson,NWE,80,False,
46,Cam Akers,2TM,79,False,
47,Isaac Guerendo,SFO,79,False,
48,Devin Singletary,NYG,76,False,
49,Ty Johnson,BUF,74,False,
50,Jaleel McLaughlin,DEN,73,False,
51,Braelon Allen,NYJ,66,False,
52,Gus Edwards,LAC,61,False,
53,Roschon Johnson,CHI,61,False,
54,Sean Tucker,TAM,60,False,
55,Zack Moss,CIN,59,False,
56,Nick Chubb,CLE,58,False,
57,Jeremy McNichols,WAS,55,False,
58,Samaje Perine,KAN,53,False,
59,Miles Sanders,CAR,53,False,
60,Raheem Mostert,MIA,52,False,
61,Kenneth Gainwell,PHI,47,False,
62,Ezekiel Elliott,DAL,46,False,
63,Isiah Pacheco,KAN,45,False,
64,Audric Estime,DEN,44,False,
65,Dameon Pierce,HOU,42,False,
66,Trey Benson,ARI,41,False,
67,Emari Demercado,ARI,39,False,
68,Trey Sermon,IND,38,False,
69,Isaiah Davis,NYJ,37,False,
70,Dare Ogunbowale,HOU,37,False,
71,Tyler Goodson,IND,33,False,
72,Christian McCaffrey,SFO,33,False,
73,Chris Brooks,GNB,31,False,
74,Chris Rodriguez,WAS,31,False,
75,Hassan Haskins,LAC,30,False,
76,Kimani Vidal,LAC,28,False,
77,Jamaal Williams,NOR,28,False,
78,D'Onta Foreman,CLE,27,False,
79,Patrick Taylor,SFO,27,False,
80,Blake Corum,LAR,27,False,
81,Cordarrelle Patterson,PIT,26,False,
82,Michael Carter,ARI,25,False,
83,D'Ernest Johnson,JAX,24,False,
84,Kendre Miller,NOR,24,False,
85,Jaylen Wright,MIA,24,False,
86,Zamir White,LVR,23,False,
87,Ty Chandler,MIN,22,False,
88,Khalil Herbert,2TM,22,False,
89,Sincere McCormick,LVR,21,False,
90,Pierre Strong,CLE,21,False,
91,Jamycal Hasty,NWE,19,False,
92,Kenny McIntosh,SEA,19,False,
93,DeeJay Dallas,ARI,18,False,
94,Craig Reynolds,DET,18,False,
95,Carson Steele,KAN,17,False,
96,Hunter Luepke,DAL,15,False,
97,Jordan Mims,NOR,14,False,
98,Ronnie Rivers,LAR,13,False,
99,Tony Jones,ARI,12,False,
100,Will Shipley,PHI,12,False,
