Rank,PlayerName,Team,FantasyPoints,Posted,Notes
1,George Kittle,SFO,159,False,
2,Brock Bowers,LVR,151,False,
3,Trey McBride,ARI,139,False,
4,Jonnu Smith,MIA,134,False,
5,Mark Andrews,BAL,134,False,
6,Sam LaPorta,DET,115,False,
7,Tucker Kraft,GNB,113,False,
8,Zach Ertz,WAS,111,False,
9,Pat Freiermuth,PIT,103,False,
10,Travis Kelce,KAN,98,False,
11,David Njoku,CLE,85,False,
12,Kyle Pitts,ATL,84,False,
13,Cade Otton,TAM,82,False,
14,Isaiah Likely,BAL,82,False,
15,Hunter Henry,NWE,79,False,
16,Taysom Hill,NOR,79,False,
17,Mike Gesicki,CIN,77,False,
18,Noah Gray,KAN,73,False,
19,Juwan Johnson,NOR,73,False,
20,Cole Kmet,CHI,73,False,
21,Tyler Conklin,NYJ,71,False,
22,Foster Moreau,NOR,71,False,
23,Dalton Schultz,HOU,65,False,
24,Austin Hooper,NWE,64,False,
25,Chigoziem Okonkwo,TEN,62,False,
26,Dallas Goedert,PHI,62,False,
27,Will Dissly,LAC,60,False,
28,Dalton Kincaid,BUF,57,False,
29,Noah Fant,SEA,56,False,
30,Jordan Akins,CLE,51,False,
31,Brenton Strange,JAX,51,False,
32,AJ Barner,SEA,49,False,
33,T.J. Hockenson,MIN,46,False,
34,Jake Ferguson,DAL,45,False,
35,Josh Oliver,MIN,44,False,
36,Evan Engram,JAX,43,False,
37,Ja'Tavion Sanders,CAR,40,False,
38,Theo Johnson,NYG,39,False,
39,Dawson Knox,BUF,37,False,
40,Grant Calcaterra,PHI,36,False,
41,Colby Parkinson,LAR,35,False,
42,Tommy Tremble,CAR,33,False,
43,Josh Whyle,TEN,33,False,
44,Nick Vannett,TEN,32,False,
45,Adam Trautman,DEN,31,False,
46,Nate Adkins,DEN,30,False,
47,Luke Schoonmaker,DAL,30,False,
48,Elijah Higgins,ARI,29,False,
49,Johnny Mundt,MIN,26,False,
50,Darnell Washington,PIT,26,False,
51,Payne Durham,TAM,24,False,
52,Brock Wright,DET,22,False,
53,Mo Alie-Cox,IND,21,False,
54,Tanner Hudson,CIN,20,False,
55,Charlie Kolar,BAL,19,False,
56,Stone Smartt,LAC,19,False,
57,Cade Stover,HOU,19,False,
58,Tyler Higbee,LAR,19,False,
59,Kylen Granson,IND,18,False,
60,Andrew Ogletree,IND,17,False,
61,Drew Sample,CIN,17,False,
62,Michael Mayer,LVR,16,False,
63,Eric Saubert,SFO,16,False,
64,Erick All,CIN,16,False,
65,Lucas Krull,DEN,15,False,
66,Daniel Bellinger,NYG,13,False,
67,Jeremy Ruckert,NYJ,11,False,
68,Blake Whiteheart,CLE,11,False,
69,Kenny Yeboah,NYJ,11,False,
70,Connor Heyward,PIT,10,False,
71,Julian Hill,MIA,10,False,
72,Quintin Morris,BUF,10,False,
73,MyCole Pruitt,PIT,10,False,
74,Chris Manhertz,NYG,9,False,
75,Brevyn Spann-Ford,DAL,9,False,
76,Ben Sinnott,WAS,9,False,
77,Devin Culp,TAM,9,False,
78,Harrison Bryant,LVR,9,False,
79,Luke Farrell,JAX,7,False,
80,Hayden Hurst,LAC,7,False,
81,E.J. Jenkins,PHI,7,False,
82,John Bates,WAS,6,False,
83,Hunter Long,LAR,6,False,
84,Pharaoh Brown,SEA,5,False,
85,Peyton Hendershot,KAN,5,False,
86,Luke Musgrave,GNB,5,False,
87,Durham Smythe,MIA,5,False,
88,Charlie Woerner,ATL,5,False,
89,Tip Reiman,ARI,4,False,
90,Ben Sims,GNB,4,False,
91,Davis Allen,LAR,4,False,
92,Tucker Fisk,LAC,4,False,
93,Gerald Everett,CHI,4,False,
94,Greg Dulcich,2TM,3,False,
95,Cam Grandy,CIN,3,False,
96,Will Mallory,IND,3,False,
97,Jaheim Bell,NWE,2,False,
98,Tanner Conner,MIA,2,False,
99,Dallin Holker,NOR,2,False,
100,Shane Zylstra,DET,2,False,
