Rank,PlayerName,Team,FantasyPoints,Posted,Notes,YouTubeLink
1,Ja'Marr Chase,CIN,276,False,,https://www.youtube.com/watch?v=wjWQ6UHGj9Y
2,Justin Jefferson,MIN,214,False,,https://www.youtube.com/watch?v=7r8p9NsxUzQ
3,Amon-Ra St. Brown,DET,201,False,,https://www.youtube.com/watch?v=A339ONYQuZU
4,Brian Thomas,JAX,197,False,,https://www.youtube.com/watch?v=NzNLh_NXbPs
5,Terry McLaurin,WAS,186,False,,https://www.youtube.com/watch?v=obzgVSexFJs
6,Drake London,ATL,181,False,,https://www.youtube.com/watch?v=AbZtV2YJ3E0
7,Mike Evans,TAM,166,False,,https://www.youtube.com/watch?v=AzD_zjZcjTA
8,Malik Nabers,NYG,165,False,,https://www.youtube.com/watch?v=lUfXup4tzBA
9,CeeDee Lamb,DAL,162,False,,https://www.youtube.com/watch?v=T7UF8J9V4vU
10,Courtland Sutton,DEN,159,False,,https://www.youtube.com/watch?v=s8ctu2c75p0
11,Ladd McConkey,LAC,159,False,,https://www.youtube.com/watch?v=cqjJpvKIPjU
12,Davante Adams,2TM,156,False,,https://www.youtube.com/watch?v=aZFfHXtAIzI
13,Jameson Williams,DET,154,False,,https://www.youtube.com/watch?v=kB0fsK4NTc8
14,Jaxon Smith-Njigba,SEA,153,False,,https://www.youtube.com/watch?v=xH3HtECybuk
15,Jerry Jeudy,CLE,151,False,,https://www.youtube.com/watch?v=W94WZAviRiQ
16,Garrett Wilson,NYJ,151,False,,https://www.youtube.com/watch?v=62VaUmfMbTA
17,Jordan Addison,MIN,150,False,,https://www.youtube.com/watch?v=E5HyFfIW-vY
18,A.J. Brown,PHI,150,False,,https://www.youtube.com/watch?v=3TfGL5L4eiM
19,Tee Higgins,CIN,149,False,,https://www.youtube.com/watch?v=y9RMyMYKGrk
20,Nico Collins,HOU,143,False,,https://www.youtube.com/watch?v=u0Ygyrl5sY8
21,Jayden Reed,GNB,142,False,,https://www.youtube.com/watch?v=gySVMOCW8S8
22,D.J. Moore,CHI,140,False,,https://www.youtube.com/watch?v=HoJAKU85JoI
23,Tyreek Hill,MIA,137,False,,https://www.youtube.com/watch?v=7_MJT8hja1U
24,Zay Flowers,BAL,136,False,,https://www.youtube.com/watch?v=5S1elccavPI
25,Calvin Ridley,TEN,135,False,,https://www.youtube.com/watch?v=Xs6gIjMykPc
26,Marvin Harrison Jr.,ARI,135,False,,https://www.youtube.com/watch?v=rQ1eD7RPKGU
27,Jauan Jennings,SFO,134,False,,https://www.youtube.com/watch?v=hSr_uDyA2f8
28,DeVonta Smith,PHI,131,False,,https://www.youtube.com/watch?v=5zMzLdd4wh4
29,Jakobi Meyers,LVR,131,False,,https://www.youtube.com/watch?v=6GMas0sJHXQ
30,Rashod Bateman,BAL,130,False,,https://www.youtube.com/watch?v=pT2jIwVaip4
31,Darnell Mooney,ATL,129,False,,https://www.youtube.com/watch?v=dL_6JPv--ss
32,Puka Nacua,LAR,128,False,,https://www.youtube.com/watch?v=UUnC2K1tpqk
33,Xavier Worthy,KAN,128,False,,https://www.youtube.com/watch?v=LBWUe-trEoQ
34,D.K. Metcalf,SEA,125,False,,https://www.youtube.com/watch?v=juX4JUMiQkY
35,Alec Pierce,IND,124,False,,https://www.youtube.com/watch?v=FJiOGW4iAqU
36,Quentin Johnston,LAC,120,False,,https://www.youtube.com/watch?v=wEae6Eh-Ptc
37,Keenan Allen,CHI,114,False,,https://www.youtube.com/watch?v=nUcUvR6DkmQ
38,Josh Downs,IND,112,False,,https://www.youtube.com/watch?v=NabLeuJHPKI
39,Cooper Kupp,LAR,108,False,,https://www.youtube.com/watch?v=T4-491yajSw
40,Khalil Shakir,BUF,107,False,,https://www.youtube.com/watch?v=L--sIgo-hSg
41,George Pickens,PIT,105,False,,https://www.youtube.com/watch?v=VtZn8eBWgVk
42,Nick Westbrook-Ikhine,TEN,104,False,,https://www.youtube.com/watch?v=Oh-QTkzKXQM
43,Deebo Samuel,SFO,103,False,,https://www.youtube.com/watch?v=owzZfZCPXDc
44,Jalen Tolbert,DAL,103,False,,https://www.youtube.com/watch?v=F3lj0xa7N2M
45,Jalen McMillan,TAM,98,False,,https://www.youtube.com/watch?v=p-8Zf_CqH18
46,Michael Pittman Jr.,IND,97,False,,https://www.youtube.com/watch?v=fh4e9T_TSto
47,Demarcus Robinson,LAR,93,False,,https://www.youtube.com/watch?v=-6KQ8XgvJCA
48,Adam Thielen,CAR,92,False,,https://www.youtube.com/watch?v=5OAb7weEQV8
49,Jaylen Waddle,MIA,92,False,,https://www.youtube.com/watch?v=ZQEnLc6QEBA
50,Rome Odunze,CHI,91,False,,https://www.youtube.com/watch?v=Gk9P1jhMA-8
51,Marvin Mims,DEN,91,False,,https://www.youtube.com/watch?v=-FnhPVkEDro
52,DeAndre Hopkins,2TM,91,False,,https://www.youtube.com/watch?v=oBc9mGPq0oM
53,Wan'Dale Robinson,NYG,90,False,,https://www.youtube.com/watch?v=022qEYRaEQo
54,Tank Dell,HOU,89,False,,https://www.youtube.com/watch?v=gA7uAOXsPgY
55,Allen Lazard,NYJ,89,False,,https://www.youtube.com/watch?v=B_wax7a24R8
56,Chris Godwin,TAM,88,False,,https://www.youtube.com/watch?v=XvGwPw3b7lE
57,Romeo Doubs,GNB,86,False,,https://www.youtube.com/watch?v=HGW461Q4fiA
58,Andrei Iosivas,CIN,84,False,,https://www.youtube.com/watch?v=hBLxmuBB0JA
59,Calvin Austin III,PIT,83,False,,https://www.youtube.com/watch?v=xMa7yIAQuJs
60,Keon Coleman,BUF,83,False,,https://www.youtube.com/watch?v=cSMIpkPQhr8
61,Demario Douglas,NWE,82,False,,https://www.youtube.com/watch?v=MLUEUKZXSgs
62,Tre Tucker,LVR,82,False,,https://www.youtube.com/watch?v=GcJFrHONQ_0
63,Ray-Ray McCloud,ATL,79,False,,https://www.youtube.com/watch?v=O41J6pQvQvE
64,Kayshon Boutte,NWE,79,False,,https://www.youtube.com/watch?v=a_DjmRpQIYA
65,Amari Cooper,2TM,79,False,,https://www.youtube.com/watch?v=aZX0QfloYWw
66,Michael Wilson,ARI,78,False,,https://www.youtube.com/watch?v=BCKQOxS-2xw
67,Xavier Legette,CAR,76,False,,https://www.youtube.com/watch?v=jDaGWcHxbzE
68,Christian Watson,GNB,76,False,,https://www.youtube.com/watch?v=U75TFCO9Ou0
69,Stefon Diggs,HOU,75,False,,https://www.youtube.com/watch?v=D6UnkUqmph8
70,Jalen Nailor,MIN,75,False,,https://www.youtube.com/watch?v=6Cm8Z898xOU
71,KaVontae Turpin,DAL,73,False,,https://www.youtube.com/watch?v=CjaY-MQP5Eg
72,Tyler Lockett,SEA,72,False,,https://www.youtube.com/watch?v=3ecRMJRbymo
73,Dontayvion Wicks,GNB,72,False,,https://www.youtube.com/watch?v=eiVh9zb35mk
74,Darius Slayton,NYG,71,False,,https://www.youtube.com/watch?v=7nrSqaLhBmk
75,Josh Palmer,LAC,68,False,,https://www.youtube.com/watch?v=xTN1fmrr3fM
76,Mack Hollins,BUF,68,False,,https://www.youtube.com/watch?v=dQEVRFpL8Do
77,Olamide Zaccheaus,WAS,67,False,,https://www.youtube.com/watch?v=G6gubj3lW7I
78,Marquez Valdes-Scantling,2TM,66,False,,https://www.youtube.com/watch?v=jVuv89NT9_U
79,Devaughn Vele,DEN,66,False,,https://www.youtube.com/watch?v=lAPusweUH3M
80,Parker Washington,JAX,65,False,,https://www.youtube.com/watch?v=nlFP2eeUFzw
81,Ricky Pearsall,SFO,63,False,,https://www.youtube.com/watch?v=x1KWfkG99d8
82,Jalen Coker,CAR,61,False,,https://www.youtube.com/watch?v=NIO_bQI_BPc
83,Elijah Moore,CLE,60,False,,https://www.youtube.com/watch?v=hnVWr7a4K1A
84,Rashid Shaheed,NOR,60,False,,https://www.youtube.com/watch?v=nB8nlmoE-98
85,Tim Patrick,DET,59,False,,https://www.youtube.com/watch?v=3qpqGoFLWuE
